epoch,lr,loss,iou,val_loss,val_iou
0,0.001,1.0386791229248047,0.32894726888555303,1.121401205695525,0.11167141914580773
1,0.001,0.8599872028827668,0.5287309488213666,0.8671687084275324,0.490053366049582
2,0.001,0.7420171678066254,0.5812769430068304,0.6491440295880199,0.6790201054180193
3,0.001,0.6440253472328186,0.6275267327388262,0.5694523509362992,0.7029046971027482
4,0.001,0.5682890397310257,0.6467523750357818,0.4975633508450276,0.7138458718788913
5,0.001,0.4988936990499496,0.6687720596991262,0.4398871872583244,0.7380912570245041
6,0.001,0.4555299234390259,0.6706271245456717,0.39466813294541925,0.7381537092707023
7,0.001,0.4010332757234573,0.7015471697415667,0.3441116377821133,0.7479240316960931
8,0.001,0.3697212666273117,0.707148180886106,0.31630733030726926,0.7685944255252349
9,0.001,0.33955675065517427,0.7203305160593777,0.3105213262818076,0.7649864020104596
10,0.001,0.3181152439117432,0.7348861819738743,0.26031598419463603,0.7870700252680141
11,0.001,0.3152171033620834,0.7267231433911105,0.2618298163724473,0.7716918019926594
12,0.001,0.2943968531489372,0.7366782774040189,0.24300739853768735,0.7887053070272558
13,0.001,0.2916211357712746,0.7320073650298384,0.23220535094966466,0.7952551496437634
14,0.001,0.2731210854649544,0.7471542358208254,0.2317314469770366,0.7920749460136207
15,0.001,0.2759481438994408,0.7417559004318721,0.2203481526500763,0.7979525180333908
16,0.001,0.2675299793481827,0.7487726814812677,0.21637887593715724,0.8006123349880615
17,0.001,0.25964576721191407,0.7546229276976817,0.21357027208775795,0.8039651387575993
18,0.001,0.2601844373345375,0.7437646002059999,0.20711747789412224,0.8039573335730033
19,0.001,0.25285460919141767,0.7579415932558132,0.21317335794833134,0.7976814387989062
20,0.001,0.24783367216587066,0.7589784170624632,0.20148512296360307,0.8073787408291919
21,0.001,0.24419374406337738,0.7582450534007634,0.20428011754953304,0.8035333940215985
22,0.001,0.24053625583648683,0.7633423091540713,0.21907130491528523,0.7805724958903419
23,0.001,0.244776828289032,0.7500796913060357,0.19946650186832765,0.8096531534287953
24,0.001,0.23483624398708344,0.7685961124783318,0.2018139840856524,0.8031432723769844
25,0.001,0.23629845052957535,0.7670215367541767,0.21777231918066667,0.7913986304001961
26,0.001,0.23736654460430145,0.7595192300041272,0.18808619831791673,0.8110187648049798
27,0.001,0.2312876644730568,0.7652209488713275,0.183092219750477,0.8162329903468002
28,0.001,0.2409490242600441,0.7541212761951275,0.1878679861527403,0.8100953473432089
29,0.001,0.225570530295372,0.7697292100366608,0.18129775828752823,0.8148810364117233
30,0.001,0.2328907611966133,0.7635455407863039,0.2069123344866591,0.8027519272750127
31,0.001,0.2239188438653946,0.7713166305913355,0.1895015449137301,0.8082948648179685
32,0.001,0.22783621460199355,0.7713537394542557,0.1896945271796618,0.8126202780765638
33,0.001,0.21779536217451095,0.7771950388889967,0.18141153692759812,0.8127858793812098
34,0.001,0.234089897274971,0.760271674413784,0.18750214419288777,0.8107611711318361
35,0.001,0.2254355338215828,0.7706697610186708,0.2042419680872479,0.8045359792175404
36,0.001,0.21515556156635285,0.7797529774786399,0.17139297646884544,0.8231811571034321
37,0.001,0.21894458323717117,0.7744663605601323,0.17501719965981616,0.8180726102836363
38,0.001,0.21715226858854295,0.7756912664622321,0.1756299569726869,0.8212338448551395
39,0.001,0.2136714753508568,0.7737984258894938,0.16891662992482104,0.8238102149859426
40,0.001,0.2067812392115593,0.7871190047325166,0.17214085147041067,0.820764979301476
41,0.001,0.21085914343595505,0.7748674112130058,0.17272710543885572,0.8232195827734642
42,0.001,0.2185265576839447,0.7752523886092222,0.1838148878452526,0.8157350031002908
43,0.001,0.2178093034029007,0.7685239499124316,0.17535465633546984,0.8148033808025315
44,0.001,0.20992564976215364,0.7807622062590676,0.16447769618005073,0.8280154587478054
45,0.001,0.2069061690568924,0.7849901901084699,0.16678875358889672,0.824959149058863
46,0.001,0.21453602194786073,0.7761800799761305,0.1695715558763218,0.8235463430264226
47,0.001,0.20442741721868515,0.7861488138889732,0.18884826599819363,0.8088179162133458
48,0.001,0.21003913670778274,0.7838463406226315,0.1694495451318544,0.8283464810883111
49,0.001,0.20573095768690108,0.7806737542474376,0.16641621943334398,0.8291709934147202
50,0.001,0.1971726167201996,0.7971357712458594,0.1789765989165341,0.8160268066406182
51,0.001,0.20569862008094789,0.7840211467316189,0.16653655740347775,0.8224522516297331
52,0.001,0.19802916586399077,0.7887922985364498,0.19405136709570592,0.8066958788556017
53,0.001,0.20337103962898254,0.7898491224301972,0.18512392629862418,0.8117345310976524
54,0.001,0.20330574244260788,0.7794605176655149,0.16535852260027237,0.8268676414824471
55,0.001,0.20182040363550185,0.7821737543150021,0.1856182824261944,0.8144710507388093
56,0.001,0.1929260152578354,0.7964275897039641,0.16270959358982723,0.8284167455171688
57,0.001,0.2099638456106186,0.7824162569332949,0.18423000556538088,0.8174796706779424
58,0.001,0.2020698943734169,0.7857369488140366,0.16267707072546206,0.8281719240930945
59,0.001,0.20151048749685288,0.7845150239361978,0.16021944220001633,0.8276192002828967
60,0.001,0.20023200780153275,0.7864281078749616,0.19147913593624968,0.8126728267948233
61,0.001,0.20177025824785233,0.7853196427490121,0.1908035737071049,0.810866599620679
62,0.001,0.20823123812675476,0.7773645970434937,0.1684462096386518,0.8246355480537151
63,0.001,0.20731977224349976,0.7898559146018477,0.16683489501622736,0.8288403659585696
64,0.001,0.20096284568309783,0.78449390546958,0.16031738273634666,0.8315087301151454
65,0.001,0.19626947581768037,0.7941833637726566,0.16073101619830588,0.8273873942866375
66,0.001,0.19690880835056304,0.7900160682552456,0.15702813958945966,0.831451174923099
67,0.001,0.19032396197319032,0.8015131132004886,0.15792406132531694,0.8298309418452828
68,0.001,0.2012472665309906,0.7896377564199655,0.16417399455200543,0.8248403623548072
69,0.001,0.2035613015294075,0.7834615067280213,0.15695005450260435,0.8344800921030853
70,0.001,0.1897134178876877,0.8018149798318026,0.15814332751882165,0.8307857196651419
71,0.001,0.18768697887659072,0.801679678243314,0.15727615034258044,0.8323021535187265
72,0.001,0.19060973912477494,0.8021370191678671,0.15561744605513697,0.8339837549596684
73,0.001,0.19625935524702073,0.7911682260043496,0.1551310363104361,0.8347032130523973
74,0.001,0.1926682958006859,0.7971918678914656,0.18001526605145643,0.8195885690619262
75,0.001,0.1888233944773674,0.7975492055430945,0.17170410579486914,0.823941658313051
76,0.001,0.19404492437839507,0.7936482883230981,0.1940384904055396,0.7801712244148956
77,0.001,0.18572759568691255,0.801515296089,0.1604160363316829,0.8309947279374748
78,0.001,0.18515871971845627,0.8034177058192281,0.1556455239616975,0.8317698108798309
79,0.001,0.18905503183603287,0.7983122864315194,0.15964683449165826,0.8304305159025673
80,0.001,0.1866071829199791,0.7987200492120761,0.15346791386531083,0.8354455406065666
81,0.001,0.18504540324211122,0.8034289807251423,0.16306808521325816,0.8308638800742356
82,0.001,0.18639769285917282,0.8003422364285114,0.15565367766109087,0.8335861662531591
83,0.001,0.1854545596241951,0.8069157221899895,0.1630949785507282,0.8277628649104599
84,0.001,0.1865043556690216,0.8052998524309174,0.1529842953790318,0.8361755296319341
85,0.001,0.18411936074495316,0.8086692197451228,0.15130242029850255,0.8376680664723072
86,0.001,0.1899355536699295,0.7992852289956773,0.4439311759038405,0.5987917513288539
87,0.001,0.19657875388860702,0.7941246760810441,0.15649313047638103,0.8321302230789482
88,0.001,0.18967659801244735,0.7972958310525136,0.1528593135919852,0.8362685433506536
89,0.001,0.18952998787164688,0.798028864627786,0.15253548184981802,0.8357556604559239
90,0.001,0.19478186041116716,0.788750682535407,0.1540314590681976,0.834591337858364
91,0.001,0.18218922913074492,0.8070827413516235,0.15451924457084343,0.8340436244924343
92,0.001,0.18553507775068284,0.7983495147304319,0.15900763649612445,0.8306246709016146
93,0.001,0.18657705903053284,0.8022268112016375,0.15556222496952413,0.8344071983118592
94,0.001,0.1877979752421379,0.7953074337602186,0.152026909849714,0.8372754368555342
95,0.001,0.1819806832075119,0.8047270596446708,0.1520089246241115,0.8368158402983469
96,0.001,0.18716867595911027,0.7958029717429252,0.1503673073188093,0.8380390148564191
97,0.001,0.18147806644439698,0.801918002056094,0.2358484986153516,0.7710815379350394
98,0.001,0.18842213928699494,0.7994978092933078,0.1549871574528973,0.8328937840608698
99,0.001,0.17966502398252487,0.8102638461058796,0.15160924412255206,0.8364043377649721
100,0.001,0.17985955506563187,0.809020935690599,0.15560865832414908,0.8351927926259377
101,0.001,0.18943314075469972,0.7929169966724657,0.15539609263731163,0.8336992320850223
102,0.001,0.19042421907186508,0.7936557881954183,0.15306911915906818,0.8348557610508
103,0.001,0.18042518615722655,0.8113254612737115,0.1533344985885175,0.8348086872720285
104,0.001,0.17935974389314652,0.808529489997069,0.1524225085680842,0.8366886453053223
105,0.001,0.18691304683685303,0.8001770171555056,0.15223656071198954,0.8353976657761629
106,0.001,0.18589347571134568,0.8011474134397512,0.1547737355900045,0.8337989322025992
107,0.001,0.1808682206273079,0.8062516057328795,0.1513321395295258,0.837395558301408
108,0.001,0.18168772608041764,0.8051517310160018,0.15411122015125922,0.8335563343065105
109,0.001,0.1824110633134842,0.8064356195608805,0.15259088780868257,0.8364954959800082
110,0.001,0.17853493452072144,0.80686224952747,0.15235458102068092,0.835973804996192
111,0.001,0.18259942770004273,0.8018182346702492,0.15072310611569031,0.8373034211035354
112,0.001,0.17371957123279572,0.8101996233482699,0.15184010301673148,0.8368954843268712
113,0.001,0.17964749425649643,0.8051276579427473,0.15314823374408468,0.8358768073983961
114,0.001,0.18123328804969788,0.8082976231621017,0.15357449043002117,0.8350278765669112
115,0.001,0.18394816249608995,0.8021983645128783,0.15174466752303029,0.8361155249837408
116,0.001,0.18454368501901627,0.7990896816630746,0.15451415752676254,0.8333997847520533
117,0.001,0.18318633615970611,0.8021717617661993,0.1513151880674046,0.8376053827979748
118,0.001,0.17697104796767235,0.8096422653187142,0.15078774629119573,0.8376432624252939
